NAICS,INJURY_CAUSE_CD,INJURY_NATURE_CD,median_amount_paid
111422,29,28,79890.99
111422,29,40,1185.79
111422,29,59,21591.35
111422,31,10,1107.55
111422,31,40,841.41
111422,31,49,2185.925
111422,31,52,7609.81
111422,31,59,17297
111422,31,90,0
111422,32,52,4759.005
111422,45,49,24034.46
111422,53,52,20826.06
111422,55,52,2976.06
111422,56,52,1981.92
111422,57,52,10376.285
111422,60,52,666.34
111422,65,28,4011.02
111422,68,90,202.02
111422,75,10,240.85
111422,76,40,555.04
111422,77,10,2100.71
111422,81,90,19.35
111422,87,25,261.57
111422,94,52,1047.23
111422,97,52,9256.27
111422,99,25,1342
111422,99,59,2064.49
111940,19,40,4846.97
111940,85,43,284.87
111998,19,40,488.77
111998,25,28,6765.55
111998,29,52,9896.78
111998,56,52,28620.23
111998,75,28,869.94
111998,81,28,209.92
111998,87,25,837.7
111998,97,78,8003.78
112111,16,59,3259.02
112111,25,90,56324.96
112111,26,10,74.25
112111,56,52,823.4
112111,56,59,3522.45
112111,60,49,7811.09
112111,76,10,405.14
112111,85,59,68.93
112112,70,71,2270.35
112112,97,80,25191.28
112120,1,4,209.96
112120,4,4,303.14
112120,10,28,16642.865
112120,10,40,1006.47
112120,12,40,193.57
112120,13,2,12056.48
112120,13,10,310.925
112120,13,13,3554.75
112120,13,28,69936.46
112120,13,59,733.09
112120,16,40,379.8
112120,17,40,10455.82
112120,19,40,449.52
112120,25,40,371.35
112120,25,49,4934.53
112120,25,52,40175.17
112120,26,28,35118.99
112120,27,10,495.95
112120,28,52,17300.64
112120,29,10,561.37
112120,29,28,12132.02
112120,29,40,2306.07
112120,29,49,27843.03
112120,29,52,1929.19
112120,31,10,6517.35
112120,31,16,6008.19
112120,31,28,36919.03
112120,31,46,15633.61
112120,31,52,14072.64
112120,31,59,5183.06
112120,31,90,40511.99
112120,32,7,931.72
112120,32,28,10723.77
112120,32,49,2161.96
112120,32,52,11893.37
112120,32,90,1257.28
112120,33,10,1533.69
112120,33,52,13460.035
112120,33,59,3304.91
112120,45,59,5468.32
112120,46,52,48457.89
112120,48,90,32714.21
112120,50,59,0
112120,53,28,1173.02
112120,56,34,5927.46
112120,56,52,3023.53
112120,57,28,3208
112120,57,59,5695.03
112120,60,10,6193.11
112120,60,28,11505.84
112120,60,34,1651.14
112120,60,52,4079.215
112120,60,59,1007.61
112120,65,10,1910.16
112120,65,40,19.59
112120,68,52,513.2
112120,74,10,525.75
112120,75,13,463.94
112120,75,37,371
112120,75,59,273.01
112120,76,40,384.61
112120,77,28,24369.4
112120,78,10,370.66
112120,78,59,46170.51
112120,79,40,1574.35
112120,81,10,221.23
112120,85,10,1125.87
112120,85,13,57950.2
112120,85,16,891.23
112120,85,28,1271.205
112120,85,49,210.8
112120,85,59,388.335
112120,85,71,16296.37
112120,85,73,19581.51
112120,85,90,236.04
112120,87,25,359.95
112120,99,10,305.64
112120,99,59,16852.76
112120,99,90,9657.26
112210,1,1,202.86
112210,1,4,481.74
112210,10,2,321.74
112210,13,10,323.94
112210,13,52,538.88
112210,15,40,26835.46
112210,16,40,357.94
112210,16,43,165.59
112210,19,40,431.56
112210,19,43,228.94
112210,26,52,14129
112210,28,10,339.62
112210,29,52,13119.05
112210,53,28,2337.38
112210,53,52,1627.87
112210,55,52,3170.09
112210,56,52,2340.86
112210,57,49,3271.52
112210,57,52,13409.09
112210,59,10,979.03
112210,60,49,417.14
112210,60,52,1661.235
112210,68,10,1993.39
112210,81,28,44349.87
112210,81,52,310.41
112210,81,59,7982.49
112210,85,10,1106.82
112210,85,40,1934.72
112210,85,52,20195.87
112210,85,59,10322.84
112310,2,40,277.44
112310,10,7,7501.18
112310,10,10,561.63
112310,10,13,541.29
112310,10,28,61183.455
112310,10,52,451.13
112310,10,59,7152.57
112310,10,90,5718.315
112310,12,10,909.05
112310,12,28,359.82
112310,13,10,963.835
112310,13,13,400.64
112310,13,28,733.54
112310,13,49,177.52
112310,13,52,430.09
112310,13,90,413.11
112310,16,40,496.4
112310,17,40,137.45
112310,17,43,11956.04
112310,17,90,36360.81
112310,18,40,2687.895
112310,19,28,7141.91
112310,19,40,61.91
112310,19,42,932.32
112310,20,52,31146.08
112310,25,10,360.62
112310,25,28,2538.805
112310,25,52,3115.345
112310,25,90,2575.9
112310,26,10,3748.52
112310,26,52,698.86
112310,27,10,369.4
112310,27,49,4578.935
112310,27,52,17541.16
112310,28,10,6057.21
112310,28,90,1859.69
112310,29,10,8968.845
112310,29,28,12898.58
112310,29,40,1340.86
112310,29,49,2531.39
112310,29,52,4331.38
112310,29,90,252.76
112310,30,49,416.15
112310,31,10,947.87
112310,31,28,2259.89
112310,31,52,7246.81
112310,32,7,990.57
112310,32,10,7366.28
112310,32,49,13982.53
112310,32,52,1284.3
112310,32,90,8822.38
112310,33,10,20759.84
112310,33,49,642.42
112310,33,59,772.96
112310,33,90,12826.39
112310,46,90,232.75
112310,53,43,1631.26
112310,53,52,452.7
112310,54,52,485.62
112310,56,34,259.87
112310,56,49,1310.9
112310,56,52,1850.76
112310,57,52,804.27
112310,58,52,1338.18
112310,60,10,533.67
112310,60,49,444.65
112310,60,52,1477.865
112310,68,10,495.87
112310,68,28,388.03
112310,68,40,328.16
112310,68,52,431.56
112310,68,59,68.93
112310,69,43,268.38
112310,69,52,329.16
112310,70,10,258.91
112310,75,10,1223.35
112310,75,28,591.72
112310,75,52,5204.305
112310,75,90,2573.39
112310,76,40,539.44
112310,76,90,4633.27
112310,77,10,609.84
112310,77,40,272.56
112310,78,28,105.91
112310,78,90,3997.64
112310,79,10,703.25
112310,79,59,63412.47
112310,81,25,885.13
112310,81,40,4532.395
112310,82,68,1338.23
112310,84,19,4833.81
112310,85,10,671.01
112310,85,49,19269.89
112310,87,4,429.675
112310,87,25,297.78
112310,90,1,2036.71
112310,90,10,527.09
112310,94,52,7437.43
112310,97,52,2789.84
112310,98,52,2879.37
112310,99,59,179.17
112320,27,52,4943.79
112320,99,49,24316.21
112330,12,40,1375.15
112330,13,52,2230.9
112330,26,52,177
112330,29,10,148.04
112330,29,52,935.07
112330,31,10,1814.86
112330,31,49,3714.09
112330,32,49,70.76
112330,45,49,7707.17
112330,50,90,895.77
112330,54,49,996.7
112330,56,52,4381.1
112330,60,52,400
112330,68,59,155.67
112330,69,43,186.29
112330,79,59,394.39
112330,87,25,853.39
112340,10,10,1396.07
112340,13,10,239.71
112340,25,10,21974.21
112340,25,28,1288.66
112340,28,10,293.14
112340,31,10,1071.55
112340,31,40,58.2
112340,31,49,3358.66
112340,56,52,600.31
112340,57,52,32466.13
112340,58,52,1677.13
112390,16,40,164.57
112390,29,49,541.83
112390,31,49,359.49
112390,32,10,206.07
112390,56,52,1177.62
112390,65,10,387.83
112390,75,10,822.06
112390,76,10,1198.42
112410,13,40,1075.52
112410,18,40,12.51
112410,25,10,2113.44
112410,59,52,6344.55
112410,59,59,479.19
112410,60,90,10733.27
112410,75,7,1142.77
112410,79,49,1500.16
112410,85,49,1663.89
112410,85,59,5937.05
112410,99,59,119.59
112511,16,40,457.77
112511,17,40,478.18
112511,33,52,20404.91
112511,48,90,11095.98
112511,50,90,2052.09
112511,53,52,2311.82
112511,56,52,2906.9
112511,97,52,789.97
112910,33,37,2005.6
112920,13,52,9425.77
112920,13,59,2248.03
112920,19,43,1180.66
112920,25,28,26152.67
112920,25,49,1026.34
112920,25,90,167.32
112920,29,37,55807.25
112920,29,49,72.53
112920,29,52,2518.055
112920,31,10,607.59
112920,32,71,24439.31
112920,50,10,539.92
112920,50,40,3484.57
112920,53,52,1358.69
112920,54,34,389.7
112920,56,28,11604.37
112920,56,52,1452.66
112920,57,37,116.02
112920,57,52,254.83
112920,59,52,403.23
112920,60,52,399.88
112920,68,52,6852.965
112920,75,52,10753.11
112920,75,90,357.5
112920,79,10,199.4
112920,85,7,1166.55
112920,85,10,331.19
112920,85,16,7371.79
112920,85,40,2258.655
112920,85,49,1484.18
112920,85,52,174.395
112920,85,59,256.43
112920,85,71,1902.86
112920,85,90,9477.93
112920,90,49,158.67
112930,13,28,4650.98
112930,56,52,312.23
112930,85,43,609.7
112990,12,28,202.24
112990,13,28,18852.31
112990,17,40,423.925
112990,25,7,1805.41
112990,26,59,133.64
112990,29,49,35041.79
112990,30,49,2169.17
112990,31,10,3613.84
112990,31,28,16596.51
112990,31,49,255.55
112990,31,52,62135.24
112990,45,49,800.76
112990,50,90,276.22
112990,53,49,1608.77
112990,54,52,984.21
112990,56,52,6239.13
112990,60,49,13293.92
112990,66,52,149.66
112990,75,10,210.39
112990,75,40,642
112990,79,10,18594.26
112990,79,90,233.97
112990,80,10,311.39
112990,81,43,871.62
112990,82,68,1191.64
112990,85,10,3010.32
112990,85,43,270.64
112990,85,52,9405.38
112990,85,90,9600.54
112990,97,52,108.65
112990,99,42,94.48
113110,31,28,20172.96
113110,60,52,12301.22
113110,68,52,891.46
113110,75,59,13330.27
113210,4,4,2594.06
113310,10,28,9367.9
113310,10,40,1266.67
113310,12,52,1776.85
113310,13,10,431.78
113310,13,28,185.31
113310,16,40,292.92
113310,17,40,1555.36
113310,18,40,35965.91
113310,19,40,811.83
113310,25,7,1898.78
113310,30,52,2034.03
113310,31,52,6727.025
113310,32,52,250.14
113310,45,52,98.37
113310,54,37,2568.88
113310,56,34,7017.62
113310,56,52,29801.2
113310,58,40,4755.94
113310,59,52,2698.17
113310,60,52,21560.17
113310,66,10,1217.98
113310,68,52,15732.34
113310,70,49,167.79
113310,75,10,2243.4
113310,75,28,7227.75
113310,75,52,3796.82
113310,75,59,693.14
113310,75,90,53695.845
113310,79,13,180.74
113310,79,28,12010.61
113310,79,43,166.99
113310,81,10,3085.08
113310,81,28,3234.57
113310,81,40,1859.08
113310,81,71,1566.65
113310,81,90,2140.69
113310,87,25,545.19
113310,97,52,1026
113310,99,28,1353.94
113310,99,49,477.12
113310,99,59,1141.31
113310,99,90,64149.92
114210,5,4,55.33
114210,17,40,174.61
114210,19,40,216.1
114210,26,59,683.92
114210,32,59,6777.59
114210,60,52,1213.68
114210,68,10,156.97
114210,76,10,217.91
114210,82,68,101.67
115112,10,40,41924.87
115112,12,40,78.63
115112,13,40,6032.25
115112,17,13,284.87
115112,18,40,512.4
115112,19,40,655.6
115112,25,59,27030.43
115112,26,49,10466.61
115112,27,52,18708.31
115112,28,10,290.44
115112,29,49,16.1
115112,30,10,283.7
115112,31,7,354.32
115112,31,10,858.4
115112,31,28,2518.2
115112,31,37,15288.73
115112,31,40,11636.95
115112,31,49,1047.135
115112,31,52,483.43
115112,32,49,576.63
115112,33,49,13915.31
115112,33,90,385.18
115112,45,10,1145.54
115112,50,1,15785.865
115112,53,49,329.94
115112,53,52,203.32
115112,54,59,776.49
115112,56,34,6546.42
115112,56,52,1318.65
115112,57,16,72.78
115112,57,52,2243.48
115112,59,90,548.72
115112,60,52,2848.79
115112,74,59,1789.57
115112,75,28,10816.53
115112,76,28,1518.755
115112,79,13,98.56
115112,79,52,243.7
115112,81,40,1960.1
115112,81,90,1516.26
115112,82,59,324.57
115112,87,25,122.3
115112,99,16,1466.88
115114,12,10,1612.19
115114,13,10,240.94
115114,13,40,1866.5
115114,13,52,590.54
115114,17,40,879.4
115114,18,40,20880.75
115114,19,40,663.13
115114,27,10,341.6
115114,29,10,443.795
115114,29,52,1344.76
115114,30,49,137.38
115114,31,90,391.44
115114,32,10,8755.24
115114,32,52,61.68
115114,33,52,658.01
115114,56,49,37487.87
115114,56,52,7973.78
115114,57,49,1880.4
115114,57,52,772.91
115114,60,52,3494.325
115114,66,13,175.09
115114,70,10,17.26
115114,74,10,1729.61
115114,75,10,1001.57
115114,75,28,14319.17
115114,76,10,120.24
115114,81,28,356.47
115114,81,59,187.09
115114,94,52,403.185
115114,94,78,680.56
115114,97,52,14107.61
115115,19,10,608.62
115115,19,40,480.045
115115,19,43,255
115115,26,10,127.47
115115,30,52,5991.6
115115,31,10,12181.22
115115,31,49,352.91
115115,57,49,1093.4
115115,85,10,3936.89
115115,87,25,1860.835
115115,94,52,10870.46
115115,99,59,2004.15
115210,13,10,120.31
115210,13,13,9591.04
115210,13,49,207.71
115210,16,40,1075.91
115210,16,43,430.28
115210,17,28,312.11
115210,18,40,501.575
115210,19,40,929.595
115210,19,43,316.835
115210,25,10,905.785
115210,25,49,571.54
115210,25,52,13127.19
115210,26,7,1936.34
115210,28,10,429.93
115210,29,28,333.6
115210,29,49,12714.525
115210,29,52,6297.93
115210,30,28,11197.1
115210,30,52,8553.93
115210,31,10,1025.385
115210,31,28,22644.28
115210,31,49,1024.8
115210,31,52,10499.88
115210,31,90,104.56
115210,32,49,432.37
115210,32,52,78.98
115210,33,10,435.83
115210,33,28,510.49
115210,33,52,370.79
115210,45,40,120
115210,48,52,19843.79
115210,50,7,30435.5
115210,53,52,658.74
115210,56,52,82.32
115210,57,37,159.82
115210,57,52,59.9
115210,60,49,18296.205
115210,60,52,14564.4
115210,60,59,124.34
115210,60,90,48938.2
115210,66,28,262.36
115210,68,7,2353.495
115210,68,10,136.99
115210,68,28,1820.97
115210,68,52,173
115210,69,49,334.24
115210,70,10,110.4
115210,70,28,1771.45
115210,70,49,1027.02
115210,70,59,8096
115210,75,59,279.535
115210,76,40,1386.21
115210,79,10,437.415
115210,80,40,506.75
115210,81,10,482.25
115210,81,28,869.02
115210,85,10,819.45
115210,85,28,1299.25
115210,85,40,3129.66
115210,85,43,381.02
115210,85,47,20953.54
115210,85,52,250.96
115210,85,59,764.76
115210,85,71,782.72
115210,85,90,578.555
115210,87,25,148.795
115210,99,59,13995.56
115310,9,4,1520.39
115310,10,52,703.62
115310,29,52,1253.58
115310,30,52,60830.07
115310,31,10,262.505
115310,31,52,5554.59
115310,32,52,23304.12
115310,50,10,4566.4
115310,53,52,5902.76
115310,60,52,302.64
115310,68,49,269.38
115310,75,7,6064.75
115310,75,25,82.8
115310,79,10,162.5
115310,81,28,31463.7
115310,81,90,15659.785
115310,85,42,405.3
115310,85,43,301
115310,87,25,150.08
211111,1,4,5304.19
211111,1,65,150.85
211111,6,4,83623.35
211111,6,65,232.89
211111,10,40,18730.69
211111,12,28,10708.23
211111,13,10,182.82
211111,13,13,30120.445
211111,13,40,1841.55
211111,25,28,8114.34
211111,25,46,6973.54
211111,25,52,6528.62
211111,26,10,31009.95
211111,27,49,2088.635
211111,29,49,8920.7
211111,29,52,218.9
211111,30,28,5251.79
211111,30,52,8879.14
211111,31,10,1689.7
211111,31,28,8187.535
211111,31,49,9523.87
211111,31,52,38248.53
211111,32,10,13178.84
211111,32,28,11067.56
211111,32,37,742.13
211111,32,49,7005.86
211111,32,52,683.12
211111,32,90,20397.68
211111,33,10,948.14
211111,33,28,6384.35
211111,45,28,27311.22
211111,45,49,9052.335
211111,45,52,6788.24
211111,50,10,1200.76
211111,50,28,17724.225
211111,53,49,3299.1
211111,53,52,14801.75
211111,56,10,222.54
211111,56,49,664.11
211111,57,52,546.7
211111,58,52,76.18
211111,59,28,795.84
211111,59,37,17250.65
211111,59,52,2121.98
211111,59,59,9326.86
211111,60,49,1380.98
211111,60,52,694.55
211111,66,28,672.8
211111,68,10,296.63
211111,68,90,1710.52
211111,75,16,1374.75
211111,75,25,472.47
211111,75,28,119.395
211111,75,40,302.47
211111,81,28,1540.71
211111,81,90,1050.54
211111,85,37,726.97
211111,85,43,4561.585
211111,85,59,213.15
211111,97,52,3688.925
211111,97,80,1621.49
211111,99,10,393.09
211111,99,52,318.73
211112,1,4,8943.82
211112,4,59,59253.96
211112,13,2,1770.43
211112,13,10,270.14
211112,13,13,1331.63
211112,13,28,9006.43
211112,19,40,1193.38
211112,31,10,6654.265
211112,32,37,32881.58
211112,33,10,437.38
211112,45,28,19231.03
211112,56,49,3943.78
211112,56,52,2125.655
211112,57,52,9637.635
211112,68,52,4700.99
211112,70,49,277.22
211112,75,40,809.87
211112,77,90,2541.62
211112,85,43,488
211112,99,90,488.44
211120,60,52,26000.33
212111,7,4,15482.63
212111,25,49,1841.49
212111,53,49,276.17
212111,56,52,1470.64
212111,70,52,826.54
212111,75,40,201.94
212111,82,71,776.35
212112,28,52,5562.86
212112,75,10,2954.92
212113,32,28,14574.7
212113,56,52,31820.56
212113,60,52,31090.6
212113,70,10,444.82
212113,87,25,271.3
212113,87,40,3781.22
212210,32,10,327.58
212311,6,25,386.48
212311,9,28,60.61
212311,12,10,254.94
212311,12,13,756.56
212311,12,28,579.45
212311,12,40,812.08
212311,17,25,235.26
212311,17,28,394.02
212311,17,40,745.97
212311,18,40,469.15
212311,18,49,225.8
212311,19,40,594.22
212311,29,49,1065.93
212311,29,90,103.58
212311,33,52,3574.12
212311,48,10,41621.65
212311,53,49,448.84
212311,53,52,352.79
212311,55,52,292.41
212311,56,28,371.91
212311,56,34,9665.82
212311,56,52,1910.235
212311,57,34,4163.98
212311,57,37,1271.35
212311,57,49,640.75
212311,57,52,242.18
212311,59,37,1140.25
212311,59,59,986.15
212311,60,52,591.755
212311,70,59,26814.38
212311,75,10,160.08
212311,75,25,419.64
212311,75,28,920.26
212311,75,40,61489.89
212311,76,40,10536.29
212311,79,10,698.715
